id,CatName,Root,Orderid,key,desc,pic,over_pic
38,铸铁闸阀,1,1,铸铁闸阀尺寸|铸铁闸阀图片|手动铸铁闸阀|铸铁闸阀结构图|彪维流体设备（上海）有限公司,铸铁闸阀尺寸|铸铁闸阀图片|手动铸铁闸阀|铸铁闸阀结构图|彪维流体设备（上海）有限公司,,
39,铸钢闸阀,1,2,铸钢闸阀DN100|铸钢闸阀结构图|美标铸钢闸阀|上海铸钢闸阀|手动铸钢闸阀|彪维流体设备（上海）有限公司,铸钢闸阀DN100|铸钢闸阀结构图|美标铸钢闸阀|上海铸钢闸阀|手动铸钢闸阀|彪维流体设备（上海）有限公司,,
40,不锈钢闸阀,1,3,DN65不锈钢闸阀|美标不锈钢闸阀|不锈钢闸阀价格|不锈钢闸阀型号|Z41W不锈钢闸阀|美国克瑞不锈钢闸阀,DN65不锈钢闸阀|美标不锈钢闸阀|不锈钢闸阀价格|不锈钢闸阀型号|Z41W不锈钢闸阀|美国克瑞不锈钢闸阀,,
41,黄铜|青铜闸阀,1,4,黄铜闸阀|青铜闸阀|埃美柯黄铜闸阀|埃美柯青铜闸阀|铜闸阀品牌,黄铜闸阀|青铜闸阀|埃美柯黄铜闸阀|埃美柯青铜闸阀|铜闸阀品牌,,
42,美标闸阀,1,5,美标进口闸阀|美标不锈钢闸阀|美标闸阀尺寸|美标法兰闸阀|美标闸阀Z41H,美标进口闸阀|美标不锈钢闸阀|美标闸阀尺寸|美标法兰闸阀|美标闸阀Z41H,,
43,俄标闸阀,1,6,铸铁俄标闸阀|俄标闸阀尺寸|俄标闸阀标准|俄标闸阀结构图,铸铁俄标闸阀|俄标闸阀尺寸|俄标闸阀标准|俄标闸阀结构图,,
44,日标闸阀,1,7,日标铸钢闸阀|日标闸阀图片|日标闸阀报价|日标闸阀尺寸|日标闸阀不锈钢,日标铸钢闸阀|日标闸阀图片|日标闸阀报价|日标闸阀尺寸|日标闸阀不锈钢,,
45,德标闸阀,1,8,德标闸阀F7|F4德标闸阀|暗杆德标闸阀|德标明杆闸阀|德标不锈钢闸阀|德标闸阀尺寸,德标闸阀F7|F4德标闸阀|暗杆德标闸阀|德标明杆闸阀|德标不锈钢闸阀|德标闸阀尺寸,,
46,丝口螺纹闸阀,1,9,丝口螺纹闸阀|黄铜丝口螺纹闸阀|不锈钢螺纹闸阀|铸铁丝扣闸阀|硬密封螺纹闸阀,丝口螺纹闸阀|黄铜丝口螺纹闸阀|不锈钢螺纹闸阀|铸铁丝扣闸阀|硬密封螺纹闸阀,,
47,信号消防闸阀,1,10,信号消防闸阀|DN100消防闸阀|信号消防闸阀尺寸|法兰式消防闸阀,信号消防闸阀|DN100消防闸阀|信号消防闸阀尺寸|法兰式消防闸阀,,
48,油密封闸阀,1,11,差压油密封闸阀|油密封闸阀结构图|油密封闸阀型号|油密封闸阀尺寸|CYZ40H油密封闸阀,差压油密封闸阀|油密封闸阀结构图|油密封闸阀型号|油密封闸阀尺寸|CYZ40H油密封闸阀,,
49,进口闸阀,1,0,进口闸阀型号|进口闸阀品牌|美标进口闸阀|进口闸阀尺寸|进口闸阀价格,进口闸阀型号|进口闸阀品牌|美标进口闸阀|进口闸阀尺寸|进口闸阀价格,,
50,衬氟闸阀,1,13,衬氟闸阀型号|衬氟闸阀尺寸|衬氟闸阀结构图|进口衬氟闸阀,衬氟闸阀型号|衬氟闸阀尺寸|衬氟闸阀结构图|进口衬氟闸阀,,
51,真空闸阀,1,14,进口真空闸阀|真空不锈钢闸阀|真空闸阀型号|真空闸阀品牌|真空闸阀尺寸,进口真空闸阀|真空不锈钢闸阀|真空闸阀型号|真空闸阀品牌|真空闸阀尺寸,,
52,电动闸阀,1,15,不锈钢电动闸阀|电动闸阀进口|电动闸阀型号|电动闸阀尺寸|电动闸阀结构图,不锈钢电动闸阀|电动闸阀进口|电动闸阀型号|电动闸阀尺寸|电动闸阀结构图,,
53,气动闸阀,1,16,进口气动闸阀|气动闸阀型号|气动闸阀图片|气动闸阀尺寸,进口气动闸阀|气动闸阀型号|气动闸阀图片|气动闸阀尺寸,,
54,暗杆闸阀,1,17,不锈钢暗杆闸阀|暗杆铸铁闸阀|进口暗杆闸阀|暗杆闸阀型号|暗杆闸阀尺寸,不锈钢暗杆闸阀|暗杆铸铁闸阀|进口暗杆闸阀|暗杆闸阀型号|暗杆闸阀尺寸,,
55,明杆闸阀,1,18,明杆铸钢闸阀|明杆闸阀型号|不锈钢明杆闸阀|明杆闸阀尺寸|明杆闸阀标准,明杆铸钢闸阀|明杆闸阀型号|不锈钢明杆闸阀|明杆闸阀尺寸|明杆闸阀标准,,
56,液动楔式闸阀,1,19,液动楔式不锈钢闸阀|液动楔式闸阀尺寸|液动楔式闸阀图片|液动楔式闸阀结果图|进口液动楔式闸阀,液动楔式不锈钢闸阀|液动楔式闸阀尺寸|液动楔式闸阀图片|液动楔式闸阀结果图|进口液动楔式闸阀,,
57,蜗轮转动闸阀,1,20,蜗轮转动闸阀材质|蜗轮转动闸阀型号|蜗轮转动闸阀尺寸|蜗轮转动闸阀图片|蜗轮转动闸阀介绍,蜗轮转动闸阀材质|蜗轮转动闸阀型号|蜗轮转动闸阀尺寸|蜗轮转动闸阀图片|蜗轮转动闸阀介绍,,
58,煤气专用闸阀,1,21,煤气专用闸阀|煤气不锈钢闸阀|煤气专用闸阀型号|煤气专用闸阀图片,煤气专用闸阀|煤气不锈钢闸阀|煤气专用闸阀型号|煤气专用闸阀图片,,
59,低压不锈钢闸阀,1,22,低压不锈钢闸阀|低压铸铁闸阀|低压不锈钢闸阀型号|低压不锈钢闸阀图片,低压不锈钢闸阀|低压铸铁闸阀|低压不锈钢闸阀型号|低压不锈钢闸阀图片,,
60,排渣闸阀,1,23,进口排渣闸阀|排渣闸阀型号|不锈钢排渣闸阀|排渣闸阀尺寸|排渣闸阀标准,进口排渣闸阀|排渣闸阀型号|不锈钢排渣闸阀|排渣闸阀尺寸|排渣闸阀标准,,
61,刀型闸阀,1,25,进口刀型闸阀|刀型闸阀型号|不锈钢刀型闸阀|刀型闸阀尺寸|刀型闸阀图片,进口刀型闸阀|刀型闸阀型号|不锈钢刀型闸阀|刀型闸阀尺寸|刀型闸阀图片,,
62,楔式闸阀,1,25,进口楔式闸阀|铸铁楔式闸阀|楔式不锈钢闸阀|楔式闸阀型号|楔式闸阀尺寸,进口楔式闸阀|铸铁楔式闸阀|楔式不锈钢闸阀|楔式闸阀型号|楔式闸阀尺寸,,
63,法兰闸阀,1,26,进口法兰闸阀|铸铁法兰闸阀|不锈钢法兰闸阀|Z41H法兰闸阀|法兰闸阀型号,进口法兰闸阀|铸铁法兰闸阀|不锈钢法兰闸阀|Z41H法兰闸阀|法兰闸阀型号,,
64,防盗闸阀,1,27,进口防盗闸阀|防盗闸阀材质|法兰防盗闸阀|防盗闸阀图片|防盗闸阀尺寸,进口防盗闸阀|防盗闸阀材质|法兰防盗闸阀|防盗闸阀图片|防盗闸阀尺寸,,
65,锻钢闸阀,1,3,进口锻钢闸阀|锻钢闸阀型号|锻钢闸阀尺寸|锻钢闸阀图片|美标锻钢闸阀,进口锻钢闸阀|锻钢闸阀型号|锻钢闸阀尺寸|锻钢闸阀图片|美标锻钢闸阀,,
66,碳钢闸阀,1,3,碳钢进口闸阀|上海碳钢闸阀|DN100碳钢闸阀|碳钢闸阀图片,碳钢进口闸阀|上海碳钢闸阀|DN100碳钢闸阀|碳钢闸阀图片,,
67,平板闸阀,1,28,平板闸阀|燃气平板闸阀|高压平板闸阀|Z43平板闸阀|不锈钢平板闸阀|带导流孔平板闸阀|手动平板闸阀,平板闸阀|燃气平板闸阀|高压平板闸阀|Z43平板闸阀|不锈钢平板闸阀|带导流孔平板闸阀|手动平板闸阀,,
68,水封闸阀,1,29,水封闸阀|铸铁水封闸阀|水封闸阀尺寸|水封闸阀型号|水封闸阀图片,水封闸阀|铸铁水封闸阀|水封闸阀尺寸|水封闸阀型号|水封闸阀图片,,
69,燃气闸阀,1,30,燃气闸阀|天燃气闸阀|trz47w-8q燃气闸阀|进口燃气闸阀|方圆燃气闸阀|燃气闸阀价格,燃气闸阀|天燃气闸阀|trz47w-8q燃气闸阀|进口燃气闸阀|方圆燃气闸阀|燃气闸阀价格,,
70,卡套闸阀,1,31,进口卡套闸阀|卡套闸阀型号|卡套闸阀尺寸|不锈钢卡套闸阀,进口卡套闸阀|卡套闸阀型号|卡套闸阀尺寸|不锈钢卡套闸阀,,
71,卡箍闸阀,1,32,进口卡箍闸阀|卡箍闸阀型号|卡箍闸阀图片|卡箍闸阀尺寸,进口卡箍闸阀|卡箍闸阀型号|卡箍闸阀图片|卡箍闸阀尺寸,,
72,陶瓷闸阀,1,33,进口陶瓷闸阀|耐磨陶瓷闸阀|整体陶瓷闸阀|衬陶瓷闸阀|陶瓷闸阀型号,进口陶瓷闸阀|耐磨陶瓷闸阀|整体陶瓷闸阀|衬陶瓷闸阀|陶瓷闸阀型号,,
73,泥浆闸阀,1,34,进口泥浆闸阀|泥浆闸阀型号|泥浆闸阀尺寸|不锈钢泥浆闸阀|铸铁泥浆闸阀,进口泥浆闸阀|泥浆闸阀型号|泥浆闸阀尺寸|不锈钢泥浆闸阀|铸铁泥浆闸阀,,
74,配水闸阀,1,35,配水闸阀型号|配水闸阀尺寸|配水闸阀口径|配水闸阀不锈钢,配水闸阀型号|配水闸阀尺寸|配水闸阀口径|配水闸阀不锈钢,,
75,直埋闸阀,1,36,柱式直埋闸阀|直埋闸阀厂家|直埋闸阀型号|直埋闸阀尺寸,柱式直埋闸阀|直埋闸阀厂家|直埋闸阀型号|直埋闸阀尺寸,,
76,波纹管闸阀,1,37,蒸汽波纹管闸阀|美标波纹管闸阀|德标波纹管闸阀|WZ41H波纹管闸阀|锻钢波纹管闸阀|上海波纹管闸阀,蒸汽波纹管闸阀|美标波纹管闸阀|德标波纹管闸阀|WZ41H波纹管闸阀|锻钢波纹管闸阀|上海波纹管闸阀,,
77,自密封闸阀,1,37,进口自密封闸阀|自密封不锈钢闸阀|自密封闸阀型号|自密封闸阀尺寸|美标自密封闸阀,进口自密封闸阀|自密封不锈钢闸阀|自密封闸阀型号|自密封闸阀尺寸|美标自密封闸阀,,
78,陶瓷双滑板闸阀,1,38,陶瓷双滑板闸阀厂家|陶瓷双滑板闸阀尺寸|陶瓷双滑板闸阀图片|陶瓷双滑板闸阀型号,陶瓷双滑板闸阀厂家|陶瓷双滑板闸阀尺寸|陶瓷双滑板闸阀图片|陶瓷双滑板闸阀型号,,
79,弹性座封闸阀,1,39,铸钢弹性座封闸阀|不锈钢弹性座封闸阀|弹性座封闸阀型号|弹性座封闸阀厂家|弹性座封闸阀尺寸,铸钢弹性座封闸阀|不锈钢弹性座封闸阀|弹性座封闸阀型号|弹性座封闸阀厂家|弹性座封闸阀尺寸,,
80,陶瓷刀型闸阀,1,40,陶瓷刀型闸阀|陶瓷刀型闸阀厂家|陶瓷刀型闸阀型号|陶瓷刀型闸阀价格,陶瓷刀型闸阀|陶瓷刀型闸阀厂家|陶瓷刀型闸阀型号|陶瓷刀型闸阀价格,,
81,陶瓷库顶切换阀,1,42,库顶切换阀|陶瓷库顶切换阀型号|库顶切换阀厂家|库顶切换阀型号,,,
82,陶瓷轻型排料闸阀,1,43,陶瓷轻型排料闸阀尺寸|陶瓷轻型排料闸阀厂家|陶瓷轻型排料闸阀价格|陶瓷轻型排料闸阀型号,,,
83,铸铁蝶阀,2,1,进口铸铁蝶阀|铸铁对夹式蝶阀|手柄铸铁蝶阀|涡轮铸铁蝶阀|铸铁蝶阀型号,,,
84,铸钢蝶阀,2,2,铸钢蝶阀价格|进口铸钢蝶阀|铸钢对夹式蝶阀|涡轮铸钢蝶阀|铸钢蝶阀价格|铸钢蝶阀型号,,,
85,碳钢蝶阀,2,3,碳钢蝶阀价格|碳钢对夹式蝶阀|涡轮碳钢蝶阀|进口碳钢蝶阀|碳钢蝶阀型号,,,
86,锻钢蝶阀,2,5,锻钢蝶阀厂家|锻钢蝶阀报价|进口锻钢蝶阀|锻钢蝶阀型号,,,
87,不锈钢蝶阀,2,6,不锈钢蝶阀型号|温州不锈钢蝶阀|不锈钢蝶阀DN100|不锈钢蝶阀密封圈|卫生级不锈钢蝶阀|手动不锈钢蝶阀|不锈钢蝶阀d71x-16p,,,
88,手柄蝶阀,2,7,手柄对夹式蝶阀|手柄蝶阀dn150|手柄不锈钢蝶阀|手柄蝶阀价格|手动蝶阀|手柄蝶阀型号,,,
89,蜗轮蝶阀,2,8,不锈钢蜗轮蝶阀|蜗轮蝶阀DN200|蜗轮对夹式蝶阀|蜗轮法兰蝶阀|涡轮衬胶蝶阀,,,
90,衬胶蝶阀,2,9,全衬胶蝶阀|气动衬胶蝶阀|电动衬胶蝶阀|衬胶蝶阀对夹式|手动衬胶蝶阀|美标衬胶蝶阀|美国克瑞衬胶蝶阀,,,
91,真空蝶阀,2,10,克瑞真空蝶阀|气动真空蝶阀|不锈钢真空蝶阀|美标真空蝶阀|电动真空蝶阀|DN150真空蝶阀|手动真空蝶阀,,,
92,伸缩蝶阀,2,12,法兰式伸缩蝶阀|进口伸缩蝶阀|电动伸缩蝶阀|气动伸缩蝶阀|手动伸缩蝶阀DN200|美国克瑞伸缩蝶阀,,,
93,气动蝶阀,2,13,气动蝶阀DN150|气动对夹式蝶阀|气动蝶阀不锈钢|气动蝶阀型号|气动蝶阀价格|四氟气动蝶阀,,,
94,电动蝶阀,2,15,电动蝶阀dn150|不锈钢电动蝶阀|电动蝶阀价格|电动蝶阀型号|进口电动蝶阀|防爆电动蝶阀|电动蝶阀生产厂家,,,
95,中线蝶阀,2,16,涡轮对夹式中线蝶阀|法兰式中线蝶阀|单夹式中线蝶阀|中线蝶阀型号|进口中线蝶阀,,,
96,信号蝶阀,2,17,消防信号蝶阀|信号蝶阀型号|信号蝶阀dn100|沟槽信号蝶阀|安全信号蝶阀|涡轮信号蝶阀,,,
97,保温蝶阀,2,19,进口保温蝶阀|BD341H法兰保温蝶阀|夹套保温蝶阀|电动保温蝶阀|温州保温蝶阀|风管保温蝶阀,,,
98,衬氟蝶阀,2,20,气动衬氟蝶阀|电动衬氟蝶阀|手动衬氟蝶阀|铸钢衬氟蝶阀|dn200衬氟蝶阀|全衬氟蝶阀|衬氟蝶阀型号,,,
99,板式蝶阀,2,21,斜板式蝶阀|河北板式蝶阀|板式蝶阀结构图|板式蝶阀型号,,,
100,法兰蝶阀,2,18,电动法兰蝶阀|气动法兰蝶阀|涡轮法兰蝶阀|不锈钢法兰蝶阀|伸缩法兰蝶阀|法兰蝶阀dn150|法兰蝶阀型号,,,
101,通风蝶阀,2,22,电动通风蝶阀|气动通风蝶阀|高温通风蝶阀|轻型通风蝶阀|对夹通风蝶阀|手动通风蝶阀|通风蝶阀型号,,,
102,保压蝶阀,2,24,保压蝶阀型号|保压蝶阀价格|进口保压蝶阀|不锈钢保压蝶阀|保压蝶阀结构图,,,
103,偏心蝶阀,2,25,双偏心蝶阀|三偏心蝶阀|单偏心蝶阀|气动三偏心蝶阀|电动偏心蝶阀|三偏心蝶阀原理|双偏心蝶阀型号,,,
104,调节蝶阀,2,26,气动调节蝶阀|电动调节蝶阀|电动高温调节蝶阀|对夹式调节蝶阀|卫生级调节蝶阀|电动通风调节蝶阀,,,
105,快关蝶阀,2,27,进口快关蝶阀|快关蝶阀型号|快关蝶阀价格|不锈钢快关蝶阀|快关蝶阀工作原理,,,
106,焊接蝶阀,2,28,卫生级焊接蝶阀|气动焊接蝶阀|不锈钢焊接蝶阀|进口焊接蝶阀|d61x-10焊接蝶阀|手动焊接蝶阀,,,
107,高温蝶阀,2,29,电动高温蝶阀|防爆高温蝶阀|烟道高温蝶阀|不锈钢高温蝶阀|耐高温蝶阀|天津高温蝶阀,,,
108,长杆蝶阀,2,30,加长杆蝶阀|d371x加长杆蝶阀|长杆蝶阀型号|不锈钢长杆蝶阀|长杆蝶阀价格,,,
109,耐磨蝶阀,2,31,除尘耐磨蝶阀|耐磨蝶阀型号|不锈钢耐磨蝶阀|耐磨蝶阀价格,,,
110,粉体蝶阀,2,32,气动粉体蝶阀|电动粉体蝶阀|手动粉体蝶阀|DN300气动粉体蝶阀,,,
111,脱硫蝶阀,2,33,进口脱硫蝶阀|气动脱硫蝶阀|电动脱硫蝶阀|涡轮脱硫蝶阀|上海脱硫蝶阀价格,,,
112,调速蝶阀,2,34,变频调速蝶阀|调速蝶阀型号|气动调速蝶阀|不锈钢调速蝶阀,,,
113,无销蝶阀,2,35,无销蝶阀和有销蝶阀|无销蝶阀介绍|无销蝶阀型号|无销蝶阀厂家,,,
114,双向蝶阀,2,37,DN1000双向蝶阀|双向蝶阀图片|什么是双向蝶阀|双向蝶阀工作原理,,,
115,衬氟蝶阀,2,38,对夹式衬氟蝶阀|进口衬氟蝶阀|气动衬氟蝶阀|电动衬氟蝶阀|dn200衬氟蝶阀|铸钢衬氟蝶阀|美标衬氟蝶阀,,,
116,陶瓷蝶阀,2,40,陶瓷蝶阀型号|陶瓷蝶阀尺寸|陶瓷蝶阀结构图|陶瓷蝶阀型号|陶瓷蝶阀厂家,,,
117,支耳式蝶阀,2,41,支耳式蝶阀安装|进口支耳式蝶阀|支耳式蝶阀型号|支耳式蝶阀图片,,,
118,卫生级蝶阀,2,42,卫生级蝶阀dn200|卫生级蝶阀手柄|卫生级蝶阀密封圈|对夹式卫生级蝶阀|卫生级蝶阀标准,,,
119,对夹式蝶阀,2,44,美标对夹式蝶阀|不锈钢对夹式蝶阀|对夹式涡轮蝶阀|对夹式蝶阀型号|进口对夹式蝶阀,,,
120,对夹式蝶阀,2,44,美标对夹式蝶阀|不锈钢对夹式蝶阀|对夹式涡轮蝶阀|对夹式蝶阀型号|进口对夹式蝶阀,,,
121,软密封蝶阀,2,45,电动软密封蝶阀|气动软密封蝶阀|软密封对夹式蝶阀|日标软密封蝶阀|不锈钢软密封蝶阀|软密封蝶阀dn200,,,
122,硬密封蝶阀,2,47,金属硬密封蝶阀|对夹式硬密封蝶阀|气动硬密封蝶阀|电动硬密封蝶阀|涡轮硬密封蝶阀,,,
123,防泥沙蝶阀,2,48,防泥沙蝶阀价格|防泥沙蝶阀图片|防泥沙蝶阀型号|防泥沙蝶阀厂家,,,
124,快速切断蝶阀,2,49,煤气快速切断蝶阀|气动快速切断蝶阀|进口快速切断蝶阀|快速切断蝶阀图片,,,
125,液控止回蝶阀,2,48,液控止回蝶阀hd7q41x|液控止回蝶阀型号|液控止回蝶阀厂家,,,
126,蓄能式液控蝶阀,2,50,液控蓄能蝶阀|蓄能式液控蝶阀|蓄能式液控蝶阀厂家|蓄能式液控蝶阀原理,,,
